coverage,bandwidth
1.0,3.0011065
1.0,3.1183968
1.0,2.963235
1.0,3.2468894
1.0,3.3842869
1.0,3.14931
1.0,2.9410667
1.0,3.398713
1.0,3.1442585
1.0,3.110226
