coverage,bandwidth
1.0,0.1380189
1.0,0.15138465
1.0,0.123728335
1.0,0.14351007
1.0,0.12774888
1.0,0.12769642
1.0,0.14398219
1.0,0.13619573
1.0,0.12978387
1.0,0.13089496
