epoch,repeat,coverage,bandwidth
1,1,0.9002770083102493,12.582757949829102
1,2,0.9002770083102493,13.312012672424316
1,3,0.9002770083102493,13.226166725158691
1,4,0.9005847953216374,13.67007064819336
1,5,0.9002770083102493,13.636639595031738
1,6,0.8999692212988611,12.850299835205078
1,7,0.9002770083102493,13.113568305969238
1,8,0.9002770083102493,13.092982292175293
1,9,0.9002770083102493,13.62534236907959
1,10,0.9002770083102493,13.640037536621094
50,1,0.9002770083102493,2.5796470642089844
50,2,0.9002770083102493,2.496798515319824
50,3,0.9002770083102493,2.595724105834961
50,4,0.9002770083102493,2.5598363876342773
50,5,0.9002770083102493,2.5989723205566406
50,6,0.9002770083102493,2.5459203720092773
50,7,0.9002770083102493,2.449456214904785
50,8,0.9002770083102493,2.5678768157958984
50,9,0.9002770083102493,2.622372627258301
50,10,0.9002770083102493,2.451779365539551
500,1,0.9002770083102493,2.2567596435546875
500,2,0.9002770083102493,2.324286460876465
500,3,0.9002770083102493,2.259000778198242
500,4,0.9002770083102493,2.2249488830566406
500,5,0.9002770083102493,2.2673606872558594
500,6,0.9002770083102493,2.2842817306518555
500,7,0.9002770083102493,2.199575424194336
500,8,0.9002770083102493,2.300905227661133
500,9,0.9002770083102493,2.3175907135009766
500,10,0.9002770083102493,2.3227767944335938
1000,1,0.9002770083102493,2.219959259033203
1000,2,0.9002770083102493,2.2519941329956055
1000,3,0.9002770083102493,2.2084455490112305
1000,4,0.9002770083102493,2.3006458282470703
1000,5,0.9002770083102493,2.252230644226074
1000,6,0.9002770083102493,2.273251533508301
1000,7,0.9002770083102493,2.3186120986938477
1000,8,0.9002770083102493,2.196061134338379
1000,9,0.9002770083102493,2.2312393188476562
1000,10,0.9002770083102493,2.3149890899658203
2000,1,0.9002770083102493,2.3326969146728516
2000,2,0.9002770083102493,2.3249921798706055
2000,3,0.9002770083102493,2.2663774490356445
2000,4,0.9005847953216374,2.256058692932129
2000,5,0.9005847953216374,2.217474937438965
2000,6,0.9002770083102493,2.2502622604370117
2000,7,0.9002770083102493,2.3227357864379883
2000,8,0.9002770083102493,2.2210941314697266
2000,9,0.9005847953216374,2.227092742919922
2000,10,0.9002770083102493,2.185243606567383
