length,Dataset
2.358443595911588,WQ
2.490084514402554,WQ
2.393472621317059,WQ
2.3441610158013297,WQ
2.3475252266839437,WQ
2.419308359833048,WQ
2.356481415824339,WQ
2.3314899582754602,WQ
2.5088646797713086,WQ
2.4827777516984515,WQ
34.2344048635359,CCS
36.4389263361209,CCS
35.2096894685815,CCS
35.87558361067032,CCS
34.87108210241283,CCS
33.68359123121397,CCS
37.07560400275176,CCS
35.401947542920034,CCS
33.46510003775313,CCS
34.36627153128393,CCS
0.17382894985714215,PT
0.1863968981465135,PT
0.17784969518079707,PT
0.1819480310968209,PT
0.1935535624480097,PT
0.19842170207880178,PT
0.182765547615374,PT
0.18024730124614652,PT
0.18413201497327358,PT
0.19220544546430052,PT
2.9728923447852953,QFT
3.1496478544761626,QFT
2.814141500941287,QFT
3.036070725540826,QFT
2.9888222261206288,QFT
3.023096992139987,QFT
3.333179340080825,QFT
3.1135003708088824,QFT
3.0576317922807466,QFT
3.0882296397593567,QFT
35.6265753363494,YH
26.972953600615405,YH
32.95176044859436,YH
33.22401574531358,YH
29.285230593013615,YH
33.93570837774204,YH
38.59653510079295,YH
55.40343032007364,YH
26.125964002317303,YH
27.951436825381563,YH
