length,Dataset
2.3261642456054688,WQ
2.416748046875,WQ
2.3104171752929688,WQ
2.3981399536132812,WQ
2.264862060546875,WQ
2.3442535400390625,WQ
2.4401321411132812,WQ
2.3745803833007812,WQ
2.2802047729492188,WQ
2.3941192626953125,WQ
32.7291145324707,CCS
35.15888214111328,CCS
37.397430419921875,CCS
33.55537414550781,CCS
34.931304931640625,CCS
32.856231689453125,CCS
34.51475524902344,CCS
35.18992233276367,CCS
33.28028869628906,CCS
33.68019104003906,CCS
0.13149431347846985,PT
0.1338765025138855,PT
0.1396862268447876,PT
0.13260114192962646,PT
0.13240671157836914,PT
0.13702088594436646,PT
0.14084935188293457,PT
0.13497954607009888,PT
0.1392894685268402,PT
0.1341491937637329,PT
3.484170913696289,QFT
2.441720962524414,QFT
2.8548450469970703,QFT
2.748770236968994,QFT
2.993880271911621,QFT
2.8610525131225586,QFT
3.145832061767578,QFT
2.851059913635254,QFT
2.9788756370544434,QFT
2.827877998352051,QFT
23.78264617919922,YH
22.17131805419922,YH
20.455249786376953,YH
22.72299575805664,YH
23.686203002929688,YH
24.766632080078125,YH
23.919414520263672,YH
24.108469009399414,YH
35.02109909057617,YH
24.433147430419922,YH
