length,Dataset
2.291233907560759,WQ
2.3928193905756174,WQ
2.384680759836776,WQ
2.3033177800317173,WQ
2.404352179436099,WQ
2.358829230772015,WQ
2.4524218775020614,WQ
2.2760301171336543,WQ
2.4272584054150954,WQ
2.351373977971793,WQ
36.80194262149914,CCS
36.07228054310394,CCS
36.716068040468514,CCS
35.924406041360925,CCS
34.730464812242644,CCS
35.70606837748416,CCS
34.35885393295587,CCS
32.68073968729425,CCS
31.55254474303392,CCS
34.14298024555829,CCS
0.16737868489350743,PT
0.16942303185866986,PT
0.1699274396587238,PT
0.16945033207190352,PT
0.17556518618963157,PT
0.17431966977505708,PT
0.17472524111614907,PT
0.173776189026831,PT
0.17136541322131382,PT
0.17487603156041232,PT
2.981278081237315,QFT
2.8324517106817275,QFT
2.7984512098929546,QFT
3.1479483720743495,QFT
2.5496148928419053,QFT
2.8827818408363868,QFT
3.0515864035862155,QFT
2.9642240829051802,QFT
3.5287305863178737,QFT
3.0390199504285107,QFT
29.62094126964729,YH
49.18604483575605,YH
37.56984928902456,YH
24.523994777187283,YH
49.91377530634975,YH
37.93428378247898,YH
51.519107069634615,YH
33.94455761895219,YH
31.845844276169757,YH
38.52809705252319,YH
