length,Dataset
2.358039308291744,WQ
2.3654488194493304,WQ
2.4033726761600924,WQ
2.415212105189763,WQ
2.417718158221824,WQ
2.4243986789069307,WQ
2.3855788434965373,WQ
2.3731633798174503,WQ
2.428761281738991,WQ
2.4237496365356392,WQ
35.818785262898686,CCS
35.09592405819518,CCS
33.68097773314847,CCS
33.513868034232544,CCS
33.98528723193178,CCS
35.422140762888176,CCS
32.550810458614436,CCS
36.78448387722334,CCS
33.75616721376949,CCS
35.56559019675245,CCS
0.27751727767382545,PT
0.28266078963302455,PT
0.2944086274175892,PT
0.28089209405371107,PT
0.2805887176016276,PT
0.2890318288186557,PT
0.2753093148961252,PT
0.27882254767908016,PT
0.2851913763469565,PT
0.27137740951184924,PT
4.600042038227217,QFT
4.229409230045288,QFT
4.659979989268405,QFT
4.295544790691197,QFT
4.646461426266507,QFT
4.225994786137832,QFT
4.409272518750747,QFT
4.418217705250658,QFT
4.230761974099643,QFT
4.36965339752634,QFT
49.304818405578025,YH
41.1325899576561,YH
48.31020485126423,YH
50.984265794261596,YH
68.15747637360036,YH
64.2618510414233,YH
48.80341966209525,YH
40.36549579296068,YH
69.03363333333505,YH
44.44800356908104,YH
