epoch,repeat,coverage,bandwidth
1,1,0.8986784140969163,11.939029693603516
1,2,0.8986784140969163,11.889057159423828
1,3,0.8986784140969163,12.366177558898926
1,4,0.9008810572687225,11.730259895324707
1,5,0.9008810572687225,11.619176864624023
1,6,0.9008810572687225,11.23283863067627
1,7,0.9008810572687225,11.968276977539062
1,8,0.9008810572687225,11.226960182189941
1,9,0.9008810572687225,11.02025318145752
1,10,0.9008810572687225,11.730619430541992
50,1,0.9008810572687225,4.566594123840332
50,2,0.9008810572687225,3.967228412628174
50,3,0.9008810572687225,4.472928047180176
50,4,0.9008810572687225,4.415282726287842
50,5,0.9008810572687225,3.9832773208618164
50,6,0.9008810572687225,4.199286460876465
50,7,0.9008810572687225,4.955438613891602
50,8,0.9008810572687225,3.5819544792175293
50,9,0.9008810572687225,5.124999523162842
50,10,0.9008810572687225,4.054971694946289
500,1,0.9008810572687225,2.882594108581543
500,2,0.9008810572687225,3.515605926513672
500,3,0.9008810572687225,3.2031702995300293
500,4,0.9008810572687225,2.710878372192383
500,5,0.9008810572687225,3.157592296600342
500,6,0.9008810572687225,3.103996515274048
500,7,0.9008810572687225,3.357820749282837
500,8,0.9008810572687225,2.8156232833862305
500,9,0.9008810572687225,2.8613905906677246
500,10,0.9008810572687225,3.4597511291503906
1000,1,0.9008810572687225,3.167789936065674
1000,2,0.9008810572687225,2.867922782897949
1000,3,0.9008810572687225,3.1231415271759033
1000,4,0.9008810572687225,2.9327194690704346
1000,5,0.9008810572687225,3.0126137733459473
1000,6,0.9008810572687225,3.1357240676879883
1000,7,0.9008810572687225,3.128659248352051
1000,8,0.9008810572687225,3.1064414978027344
1000,9,0.9008810572687225,3.00791335105896
1000,10,0.9008810572687225,2.9100615978240967
2000,1,0.9008810572687225,3.202986240386963
2000,2,0.9008810572687225,2.902019500732422
2000,3,0.9008810572687225,2.9139413833618164
2000,4,0.9008810572687225,3.423410415649414
2000,5,0.9008810572687225,3.1640005111694336
2000,6,0.9008810572687225,3.165220260620117
2000,7,0.9008810572687225,2.9934892654418945
2000,8,0.9008810572687225,2.9985263347625732
2000,9,0.9008810572687225,3.0720787048339844
2000,10,0.9008810572687225,3.1754283905029297
