coverage,bandwidth
1.0,8.1688385
1.0,11.983261
1.0,8.384827
1.0,5.7819552
1.0,10.543612
1.0,7.355606
1.0,5.7921295
1.0,11.357491
1.0,9.24251
1.0,20.698196
