coverage,bandwidth
1.0,22.130413
1.0,29.052536
1.0,24.589157
1.0,25.088219
1.0,25.221188
1.0,22.168228
1.0,24.27388
1.0,31.870218
1.0,29.619274
1.0,28.217613
